"","TaxonoriginalDN","taxonsimplified_dn","Taxonsimplified_DN","Acceptedname_ALA","name","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","RowTree","Taxon","binomial","genus","species","subspecies","taxon.1","Status","Accepted.name","Authority","Collection.source","ETS.accession","ITS.accession","matK.accession","psbA.accession"
"23","Eucalyptus micranthera","eucalyptus micranthera","Eucalyptus micranthera","Eucalyptus micranthera","eucalyptus micranthera","","Species ","D.Nicolle","1090","Mt Ragged, WA",33,27,48,123,26,"45",64,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R064/T13","Eucalyptus micranthera","eucalyptus micranthera","eucalyptus","micranthera",NA,"eucalyptus micranthera","Accepted","","F.Muell. ex Benth.","Currency Creek 1090","KT631809","","","KT632406"
"24","Eucalyptus discreta","eucalyptus discreta","Eucalyptus discreta","Eucalyptus discreta","eucalyptus discreta","","Species ","D.Nicolle","1091","Mt Ragged, WA",33,32,50,123,31,"51",64,6,"Alive","None evident","Dead (non-drought)","","","","","","","None evident","Flowered","Flowered",1995,"R064/T06","Eucalyptus discreta","eucalyptus discreta","eucalyptus","discreta",NA,"eucalyptus discreta","Accepted","","Brooker","Currency Creek 1091","KT631649","KT631066","KT632832","KT632261"
"25","Eucalyptus extrica","eucalyptus extrica","Eucalyptus extrica","Eucalyptus extrica","eucalyptus extrica","","Species ","D.Nicolle","1092","Cape Arid, WA",33,35,6,123,34,"42",65,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T31","Eucalyptus extrica","eucalyptus extrica","eucalyptus","extrica",NA,"eucalyptus extrica","Accepted","","D.Nicolle","CANB 632680**","","FJ654392","","FJ654343"
"26","Eucalyptus litorea","eucalyptus litorea","Eucalyptus litorea","Eucalyptus litorea","eucalyptus litorea","","Species ","D.Nicolle","1094","Israelite Bay, WA",33,38,45,123,47,"32",65,5,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T05","Eucalyptus litorea","eucalyptus litorea","eucalyptus","litorea",NA,"eucalyptus litorea","Accepted","","Brooker & Hopper","Currency Creek 1094","KT631779","KT631178","KT632952","KT632380"
"27","Eucalyptus occidentalis","eucalyptus occidentalis","Eucalyptus occidentalis","Eucalyptus occidentalis","eucalyptus occidentalis","","Species ","D.Nicolle","1095","Cape Arid, WA",33,43,23,123,22,"2",65,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T16","Eucalyptus occidentalis","eucalyptus occidentalis","eucalyptus","occidentalis",NA,"eucalyptus occidentalis","Accepted","","Endl.","Currency Creek 3556","KT631846","KT631236","KT633016",""
"28","Eucalyptus x erythrandra (E. angulosa x E. tetraptera)","eucalyptus x erythrandra","Eucalyptus x erythrandra","","","","Hybrid","D.Nicolle","1098","Mt Baring, WA",33,44,48,123,15,"45",65,11,"Alive","Dead","","","","","","","6 - 12 months","None evident","Flowered","Flowered",1995,"R065/T11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Eucalyptus quadrans","eucalyptus quadrans","Eucalyptus quadrans","Eucalyptus quadrans","eucalyptus quadrans","","Species ","D.Nicolle","1099","Truslove, WA",33,22,3,121,41,"36",73,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R073/T20","Eucalyptus quadrans","eucalyptus quadrans","eucalyptus","quadrans",NA,"eucalyptus quadrans","Accepted","","Brooker & Hopper","Currency Creek 1099","KT631924","KT631298","KT633087","KT632500"
"30","Eucalyptus pimpiniana","eucalyptus pimpiniana","Eucalyptus pimpiniana","Eucalyptus pimpiniana","eucalyptus pimpiniana","","Species ","D.Nicolle","110","Ooldea Range, SA",29,20,59,130,11,"38",9,35,"Alive","None evident","None evident","?","","","","","","None evident","","",1993,"R009/T35","Eucalyptus pimpiniana","eucalyptus pimpiniana","eucalyptus","pimpiniana",NA,"eucalyptus pimpiniana","Accepted","","Maiden","Currency Creek 2738","KT631894","KT631274","KT633061","KT632474"
"31","Eucalyptus kessellii subsp. kessellii","eucalyptus kessellii subsp. kessellii","Eucalyptus kessellii subsp. kessellii","Eucalyptus kessellii subsp. kessellii","eucalyptus kessellii subsp. kessellii","","Subspecies","D.Nicolle","1101","Mt Ridley, WA",33,15,31,122,7,"28",65,27,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T27","Eucalyptus kessellii subsp. kessellii","eucalyptus kessellii","eucalyptus","kessellii","kessellii","eucalyptus kessellii subsp. kessellii","Accepted","","Maiden & Blakely","Currency Creek 1101","KT631750","KT631154","KT632929","KT632354"
"32","Eucalyptus creta","eucalyptus creta","Eucalyptus creta","Eucalyptus creta","eucalyptus creta","","Species ","D.Nicolle","1102","Mt Ridley, WA",33,4,23,122,16,"15",65,23,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T23","Eucalyptus creta","eucalyptus creta","eucalyptus","creta",NA,"eucalyptus creta","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 3606","KT631615","KT631038","KT632801",""
"33","Eucalyptus flocktoniae subsp. hebes","eucalyptus flocktoniae subsp. hebes","Eucalyptus flocktoniae subsp. hebes","Eucalyptus flocktoniae subsp. hebes","eucalyptus flocktoniae subsp. hebes","","Subspecies","D.Nicolle","1104","Salmon Gums, WA",33,8,49,122,6,"29",65,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Eucalyptus sp. 'Southern wheatbelt' (aff. leptocalyx)","eucalyptus sp. southern wheatbelt","Eucalyptus sp. Southern wheatbelt","Eucalyptus leptocalyx","eucalyptus leptocalyx","","Species","D.Nicolle","1105","Salmon Gums, WA",33,8,49,122,6,"29",65,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata subsp. conglobata","","Subspecies","D.Nicolle","1106","Salmon Gums, WA",33,8,49,122,6,"29",65,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R065/T09","Eucalyptus conglobata subsp. conglobata","eucalyptus conglobata","eucalyptus","conglobata","conglobata","eucalyptus conglobata subsp. conglobata","Accepted","","(Benth.) Maiden","Currency Creek 3588","KT631602","KT631027","KT632788","KT632220"
"36","Eucalyptus ovularis","eucalyptus ovularis","Eucalyptus ovularis","Eucalyptus ovularis","eucalyptus ovularis","","Species ","D.Nicolle","1107","Red Lake, WA",32,59,49,121,38,"53",68,24,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R068/T24","Eucalyptus ovularis","eucalyptus ovularis","eucalyptus","ovularis",NA,"eucalyptus ovularis","Accepted","","Maiden & Blakely","Currency Creek 1107","KT631863","KT631251","KT633032","KT632446"
"37","Eucalyptus incrassata","eucalyptus incrassata","Eucalyptus incrassata","Eucalyptus incrassata","eucalyptus incrassata","","Species ","D.Nicolle","1108","Bremer Range, WA",32,41,42,120,47,"2",68,12,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R068/T12","Eucalyptus incrassata","eucalyptus incrassata","eucalyptus","incrassata",NA,"eucalyptus incrassata","Accepted","","Labill.","Currency Creek 1638","KT631738","KT631143","KT632918","KT632343"
"38","Eucalyptus obesa","eucalyptus obesa","Eucalyptus obesa","Eucalyptus obesa","eucalyptus obesa","","Species ","D.Nicolle","1109","90 Mile Tank, WA",32,40,58,120,41,"33",68,20,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R068/T20","Eucalyptus obesa","eucalyptus obesa","eucalyptus","obesa",NA,"eucalyptus obesa","Accepted","","Brooker & Hopper","Currency Creek 3724","KT631843","","",""
"39","Eucalyptus deflexa","eucalyptus deflexa","Eucalyptus deflexa","Eucalyptus deflexa","eucalyptus deflexa","","Species ","D.Nicolle","1110","Lake King, WA",32,55,13,120,21,"57",70,17,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T17","Eucalyptus deflexa","eucalyptus deflexa","eucalyptus","deflexa",NA,"eucalyptus deflexa","Accepted","","Brooker","Currency Creek 1110","KT631637","KT631056","KT632821","KT632250"
"40","Eucalyptus densa","eucalyptus densa","Eucalyptus densa","Eucalyptus densa","eucalyptus densa","","Species ","D.Nicolle","1111","Lake King, WA",33,4,21,120,13,"1",70,13,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Eucalyptus calycogona subsp. calycogona","eucalyptus calycogona subsp. calycogona","Eucalyptus calycogona subsp. calycogona","Eucalyptus calycogona subsp. calycogona","eucalyptus calycogona subsp. calycogona","","Subspecies","D.Nicolle","1112","Lake King, WA",33,4,21,120,13,"1",70,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T09","Eucalyptus calycogona subsp. calycogona","eucalyptus calycogona","eucalyptus","calycogona","calycogona","eucalyptus calycogona subsp. calycogona","Accepted","","Turcz.","Currency Creek 1112","KT631570","KT631002","KT632761","KT632193"
"42","Eucalyptus falcata","eucalyptus falcata","Eucalyptus falcata","Eucalyptus falcata","eucalyptus falcata","","Species ","D.Nicolle","1113","Newdegate, WA",33,5,33,119,24,"59",69,19,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R069/T19","Eucalyptus falcata","eucalyptus falcata","eucalyptus","falcata",NA,"eucalyptus falcata","Accepted","","Turcz.","CANB 630597**","KT631682","AF390506","KT632863","KT632289"
"43","Eucalyptus mimica subsp. continens","eucalyptus mimica subsp. continens","Eucalyptus mimica subsp. continens","Eucalyptus mimica subsp. continens","eucalyptus mimica subsp. continens","","Subspecies","D.Nicolle","1114","Newdegate, WA",33,17,7,119,1,"23",70,26,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Eucalyptus virella","eucalyptus virella","Eucalyptus virella","Eucalyptus virella","eucalyptus virella","Not in Gbif","Species ","D.Nicolle","1116","Newdegate, WA",33,9,27,119,9,"48",62,32,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R062/T32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Eucalyptus incrassata ","eucalyptus incrassata","Eucalyptus incrassata","Eucalyptus incrassata","eucalyptus incrassata","","Species ","D.Nicolle","1117","Dunn Rock, WA",33,21,27,119,38,"42",63,6,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T06","Eucalyptus incrassata","eucalyptus incrassata","eucalyptus","incrassata",NA,"eucalyptus incrassata","Accepted","","Labill.","Currency Creek 1638","KT631738","KT631143","KT632918","KT632343"
"46","Eucalyptus perangusta","eucalyptus perangusta","Eucalyptus perangusta","Eucalyptus perangusta","eucalyptus perangusta","","Species ","D.Nicolle","1118","Ravensthorpe, WA",33,22,39,119,53,"38",69,27,"Dead","","","","","","","","","","","",1995,"R069/T27","Eucalyptus perangusta","eucalyptus perangusta","eucalyptus","perangusta",NA,"eucalyptus perangusta","Accepted","","Brooker","Currency Creek 3712","KT631880","KT631262","KT633048","KT632462"
"47","Eucalyptus quadrans","eucalyptus quadrans","Eucalyptus quadrans","Eucalyptus quadrans","eucalyptus quadrans","","Species ","D.Nicolle","1119","Lake Chidnup, WA",33,22,39,119,53,"38",63,1,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T01","Eucalyptus quadrans","eucalyptus quadrans","eucalyptus","quadrans",NA,"eucalyptus quadrans","Accepted","","Brooker & Hopper","Currency Creek 1099","KT631924","KT631298","KT633087","KT632500"
"48","Eucalyptus wyolensis","eucalyptus wyolensis","Eucalyptus wyolensis","Eucalyptus wyolensis","eucalyptus wyolensis","","Species ","D.Nicolle","112","Oak Valley 1, SA",29,20,13,130,13,"13",12,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R012/T29","Eucalyptus wyolensis","eucalyptus wyolensis","eucalyptus","wyolensis",NA,"eucalyptus wyolensis","Accepted","","Boomsma","Currency Creek 2633","KT632050","KT631398","KT633204","KT632609"
"49","Eucalyptus dielsii","eucalyptus dielsii","Eucalyptus dielsii","Eucalyptus dielsii","eucalyptus dielsii","","Species ","D.Nicolle","1120","Ravensthorpe, WA",33,26,46,119,57,"18",69,15,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R069/T15","Eucalyptus dielsii","eucalyptus dielsii","eucalyptus","dielsii",NA,"eucalyptus dielsii","Accepted","","C.A.Gardner","Currency Creek 3596","KT631645","KT631062","KT632828","KT632257"
"50","Eucalyptus megacornuta","eucalyptus megacornuta","Eucalyptus megacornuta","Eucalyptus megacornuta","eucalyptus megacornuta","","Species ","D.Nicolle","1121","Ravensthorpe Range, WA",33,30,43,120,2,"20",72,4,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R072/T04","Eucalyptus megacornuta","eucalyptus megacornuta","eucalyptus","megacornuta",NA,"eucalyptus megacornuta","Accepted","","C.A.Gardner","Currency Creek 3578","KT631802","KT631201","KT632975","KT632400"
"51","Eucalyptus sporadica","eucalyptus sporadica","Eucalyptus sporadica","Eucalyptus sporadica","eucalyptus sporadica","","Species ","D.Nicolle","1122","Ravensthorpe Range, WA",33,30,43,120,2,"20",69,24,"Alive","Moderate","Moderate","?","Extensive","Trunk + primary & secondary branches","3 - 9 months","Moderate","","None evident","Flowered","Flowered",1995,"R069/T24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Eucalyptus oleosa subsp. corvina","eucalyptus oleosa subsp. corvina","Eucalyptus oleosa subsp. corvina","Eucalyptus oleosa subsp. corvina","eucalyptus oleosa subsp. corvina","Synonym of E. moluccana","Subspecies","D.Nicolle","1123","Ravensthorpe 1, WA",33,34,45,120,3,"3",63,9,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R063/T09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Eucalyptus glaucina","eucalyptus glaucina","Eucalyptus glaucina","Eucalyptus glaucina","eucalyptus glaucina","","Species ","CSIRO","11239","Casino, NSW",29,8,NA,153,0,"",80,3,"Alive","Moderate","Slight","?","None evident","","","","","Slight","Flowered","Flowered",1999,"R080/T03","Eucalyptus glaucina","eucalyptus glaucina","eucalyptus","glaucina",NA,"eucalyptus glaucina","Accepted","","(Blakely) L.A.S.Johnson","Currency Creek 2085","KT631707","AF390481","KT632888","KT632316"
"54","Eucalyptus sepulcralis","eucalyptus sepulcralis","Eucalyptus sepulcralis","Eucalyptus sepulcralis","eucalyptus sepulcralis","","Species ","D.Nicolle","1126","Eyre Range 1, WA",33,54,19,119,57,"0",62,35,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R062/T35","Eucalyptus sepulcralis","eucalyptus sepulcralis","eucalyptus","sepulcralis",NA,"eucalyptus sepulcralis","Accepted","","F.Muell.","CANB 378343**","KT631970","EF051499","KT633129","KT632541"
"55","Eucalyptus arborella","eucalyptus arborella","Eucalyptus arborella","Eucalyptus arborella","eucalyptus arborella","","Species ","D.Nicolle","1127","Twertup, WA",34,2,NA,119,22,"",70,29,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T29","Eucalyptus arborella","eucalyptus arborella","eucalyptus","arborella",NA,"eucalyptus arborella","Accepted","","Brooker & Hopper","Currency Creek 1115","KT631516","","",""
"56","Eucalyptus suggrandis subsp. suggrandis","eucalyptus suggrandis subsp. suggrandis","Eucalyptus suggrandis subsp. suggrandis","Eucalyptus suggrandis subsp. suggrandis","eucalyptus suggrandis subsp. suggrandis","","Subspecies","D.Nicolle","1128","Twertup, WA",34,1,29,119,22,"31",67,3,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R067/T03","Eucalyptus suggrandis subsp. suggrandis","eucalyptus suggrandis","eucalyptus","suggrandis","suggrandis","eucalyptus suggrandis subsp. suggrandis","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 3583","KT632000","KT631356","KT633153","KT632563"
"57","Eucalyptus incrassata","eucalyptus incrassata","Eucalyptus incrassata","Eucalyptus incrassata","eucalyptus incrassata","","Species ","D.Nicolle","1129","Twertup, WA",34,1,29,119,22,"31",70,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1995,"R070/T21","Eucalyptus incrassata","eucalyptus incrassata","eucalyptus","incrassata",NA,"eucalyptus incrassata","Accepted","","Labill.","Currency Creek 1638","KT631738","KT631143","KT632918","KT632343"
"58","Eucalyptus socialis subsp. victoriensis","eucalyptus socialis subsp. victoriensis","Eucalyptus socialis subsp. victoriensis","Eucalyptus socialis subsp. victoriensis","eucalyptus socialis subsp. victoriensis","","Subspecies","D.Nicolle","113","Ooldea Range, SA",29,22,11,130,2,"57",9,31,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R009/T31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Eucalyptus lehmannii subsp. parallela","eucalyptus lehmannii subsp. parallela","Eucalyptus lehmannii subsp. parallela","Eucalyptus lehmannii subsp. parallela","eucalyptus lehmannii subsp. parallela","","Subspecies","D.Nicolle","1130","Twertup, WA",34,0,27,119,13,"11",67,5,"Dead","","","","","","","","","","","",1995,"R067/T05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Eucalyptus rudis subsp. rudis","eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","Eucalyptus rudis subsp. rudis","eucalyptus rudis subsp. rudis","","Subspecies","D.Nicolle","1131","Pallinup River, WA",34,24,21,118,43,"48",69,34,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","Flowered","Flowered",1995,"R069/T34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Eucalyptus macrandra","eucalyptus macrandra","Eucalyptus macrandra","Eucalyptus macrandra","eucalyptus macrandra","","Species ","D.Nicolle","1132","Pallinup River, WA",34,24,21,118,43,"48",70,6,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"R070/T06","Eucalyptus macrandra","eucalyptus macrandra","eucalyptus","macrandra",NA,"eucalyptus macrandra","Accepted","","F.Muell. ex Benth.","Currency Creek 1887","KT631790","KT631189","KT632963","KT632389"
"62","Eucalyptus staeri","eucalyptus staeri","Eucalyptus staeri","Eucalyptus staeri","eucalyptus staeri","","Species ","D.Nicolle","1133","Wellstead, WA",34,30,46,118,34,"40",70,33,"Alive","Dead","","","","","","","3 - 6 months","Moderate","","",1995,"R070/T33","Eucalyptus staeri","eucalyptus staeri","eucalyptus","staeri",NA,"eucalyptus staeri","Accepted","","(Maiden) Maiden ex Kessell &","Currency Creek 1133","KT631986","AF390531","",""
"63","Eucalyptus angulosa","eucalyptus angulosa","Eucalyptus angulosa","Eucalyptus angulosa","eucalyptus angulosa","","Species ","D.Nicolle","1136","Two Peoples Bay, WA",34,56,19,118,12,"27",67,10,"Alive","Slight","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"R067/T10","Eucalyptus angulosa","eucalyptus angulosa","eucalyptus","angulosa",NA,"eucalyptus angulosa","Accepted","","Schauer","Currency Creek 939","KT631508","KT630950","","KT632141"
"64","Eucalyptus megacarpa","eucalyptus megacarpa","Eucalyptus megacarpa","Eucalyptus megacarpa","eucalyptus megacarpa","","Species ","D.Nicolle","1137","Two Peoples Bay, WA",34,55,6,118,11,"13",70,39,"Alive","Dead","","","","","","","3 - 6 months","Severe","Flowered","Flowered",1995,"R070/T39","Eucalyptus megacarpa","eucalyptus megacarpa","eucalyptus","megacarpa",NA,"eucalyptus megacarpa","Accepted","","F.Muell.","CANB 804457**","KT631801","KT631200","KT632974","KT632399"
"65","Corymbia ficifolia","corymbia ficifolia","Corymbia ficifolia","Corymbia ficifolia","corymbia ficifolia","","Species ","D.Nicolle","1138","Bow Bridge, WA",35,1,23,116,55,"50",68,28,"Dead","","","","","","","","","Died in 2006","","",1995,"R068/T28","Corymbia ficifolia","corymbia ficifolia","corymbia","ficifolia",NA,"corymbia ficifolia","Accepted","","(F.Muell.) K.D.Hill &","ANBG c208","DQ352499","AF390451","KT632657",""
"66","Eucalyptus guilfoylei","eucalyptus guilfoylei","Eucalyptus guilfoylei","Eucalyptus guilfoylei","eucalyptus guilfoylei","","Species ","D.Nicolle","1139","Bow Bridge, WA",34,58,42,116,53,"25",76,13,"Dead","","","","","","","","","","","",1995,"R076/T13","Eucalyptus guilfoylei","eucalyptus guilfoylei","eucalyptus","guilfoylei",NA,"eucalyptus guilfoylei","Accepted","","Maiden","CANB 794246**","KT631722","KT631129","KT632903","KT632331"
"67","Eucalyptus jacksonii","eucalyptus jacksonii","Eucalyptus jacksonii","Eucalyptus jacksonii","eucalyptus jacksonii","","Species ","D.Nicolle","1140","Bow Bridge, WA",35,58,48,116,53,"12",76,9,"Dead","","","","","","","","","","","",1995,"R076/T09","Eucalyptus jacksonii","eucalyptus jacksonii","eucalyptus","jacksonii",NA,"eucalyptus jacksonii","Accepted","","Maiden","CANB 794245**","KT631744","AF390529","HQ287631","KT632349"
"68","Eucalyptus brevistylis","eucalyptus brevistylis","Eucalyptus brevistylis","Eucalyptus brevistylis","eucalyptus brevistylis","","Species ","D.Nicolle","1141","Mt Frankland, WA",34,48,47,116,53,"20",76,26,"Alive","Moderate","Moderate","?","Very scattered","Trunk only","3 - 6 months","None evident","","Severe","","",1995,"R076/T26","Eucalyptus brevistylis","eucalyptus brevistylis","eucalyptus","brevistylis",NA,"eucalyptus brevistylis","Accepted","","Brooker","Currency Creek 1141","KT631555","AF390527","KT632746","KT632181"
"69","Eucalyptus diversicolor","eucalyptus diversicolor","Eucalyptus diversicolor","Eucalyptus diversicolor","eucalyptus diversicolor","","Species ","D.Nicolle","1142","Walpole, WA",34,49,1,116,41,"7",76,20,"Alive","Severe","Severe","?","None evident","","","","","Severe","","",1995,"R076/T20","Eucalyptus diversicolor","eucalyptus diversicolor","eucalyptus","diversicolor",NA,"eucalyptus diversicolor","Accepted","","F.Muell.","ANBG 7901541","KT631653","AF390493","KT632835","KT632264"
"70","Eucalyptus patens","eucalyptus patens","Eucalyptus patens","Eucalyptus patens","eucalyptus patens","","Species ","D.Nicolle","1143","Manjimup, WA",34,16,58,115,42,"28",76,5,"Dead","","","","","","","","","","","",1995,"R076/T05","Eucalyptus patens","eucalyptus patens","eucalyptus","patens",NA,"eucalyptus patens","Accepted","","Benth.","ANBG 55807","KT631876","FJ494724","KT633044","KT632458"
"71","Eucalyptus marginata subsp. marginata","eucalyptus marginata subsp. marginata","Eucalyptus marginata subsp. marginata","Eucalyptus marginata","eucalyptus marginata","","Species ","D.Nicolle","1144","Manjimup, WA",34,11,34,115,34,"38",72,23,"Dead","","","","","","","","","","","",1995,"R072/T23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Eucalyptus rudis subsp. cratyantha","eucalyptus rudis subsp. cratyantha","Eucalyptus rudis subsp. cratyantha","Eucalyptus rudis subsp. cratyantha","eucalyptus rudis subsp. cratyantha","","Subspecies","D.Nicolle","1146","Eagle Bay 1, WA",33,33,36,115,4,"2",67,22,"Alive","Dead","","","","","","","1 - 2 years","Severe","","",1995,"R067/T22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Corymbia haematoxylon","corymbia haematoxylon","Corymbia haematoxylon","Corymbia haematoxylon","corymbia haematoxylon","","Species ","D.Nicolle","1147","Busselton, WA",33,42,58,115,31,"34",72,32,"Alive","Severe","Severe","?","Scattered","Trunk only","3 - 6 months","None evident","6 - 12 months","None evident","Flowered","Flowered",1995,"R072/T32","Corymbia haematoxylon","corymbia haematoxylon","corymbia","haematoxylon",NA,"corymbia haematoxylon","Accepted","","(Maiden) K.D.Hill &","Currency Creek 1147","KT631457","KT630926","",""
"74","Eucalyptus gomphocephala","eucalyptus gomphocephala","Eucalyptus gomphocephala","Eucalyptus gomphocephala","eucalyptus gomphocephala","","Species ","D.Nicolle","1148","Bunbury, WA",33,30,16,115,34,"4",69,11,"Alive","Dead","","","","","","","6 - 12 months","Severe","","",1995,"R069/T11","Eucalyptus gomphocephala","eucalyptus gomphocephala","eucalyptus","gomphocephala",NA,"eucalyptus gomphocephala","Accepted","","A.Cunn. ex DC.","Currency Creek 1148","KT631711","KT631118","KT632892","KT632319"
"75","Eucalyptus aspersa","eucalyptus aspersa","Eucalyptus aspersa","Eucalyptus aspersa","eucalyptus aspersa","","Species ","D.Nicolle","1149","North Bannister, WA",32,30,40,116,22,"27",73,13,"Dead","","","","","","","","","","","",1995,"R073/T13","Eucalyptus aspersa","eucalyptus aspersa","eucalyptus","aspersa",NA,"eucalyptus aspersa","Accepted","","Brooker & Hopper","Currency Creek 1890","KT631524","KT630962","KT632718","KT632154"
"76","Eucalyptus optima","eucalyptus optima","Eucalyptus optima","Eucalyptus optima","eucalyptus optima","","Species ","D.Nicolle","115","Balladonia, WA",32,17,34,123,29,"50",27,8,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1993,"R027/T08","Eucalyptus optima","eucalyptus optima","eucalyptus","optima",NA,"eucalyptus optima","Accepted","","L.A.S.Johnson & K.D.Hill","Currency Creek 2154","KT631855","KT631244","KT633024","KT632438"
"77","Eucalyptus laeliae","eucalyptus laeliae","Eucalyptus laeliae","Eucalyptus laeliae","eucalyptus laeliae","","Species ","D.Nicolle","1150","Serpentine, WA",32,22,7,116,0,"31",64,29,"Alive","Moderate","None evident","??","None evident","","","","","None evident","Flowered","Flowered",1995,"R064/T29","Eucalyptus laeliae","eucalyptus laeliae","eucalyptus","laeliae",NA,"eucalyptus laeliae","Accepted","","Podger & Chippend.","Currency Creek 1150","KT631759","KT631161","",""
"78","Eucalyptus marginata subsp. marginata (subsp. ellegantella)","eucalyptus marginata subsp. marginata","Eucalyptus marginata subsp. marginata","Eucalyptus marginata","eucalyptus marginata","","Species ","D.Nicolle","1151","Serpentine, WA",32,21,8,115,59,"54",73,33,"Dead","","","","","","","","","","","",1995,"R073/T33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Eucalyptus foecunda subsp. foecunda","eucalyptus foecunda subsp. foecunda","Eucalyptus foecunda subsp. foecunda","Eucalyptus foecunda","eucalyptus foecunda","","Species ","D.Nicolle","1152","Bold Park, WA",31,56,31,115,46,"47",62,27,"Alive","None evident","Slight","?","None evident","","","","","None evident","Flowered","Flowered",1995,"R062/T27","Eucalyptus foecunda","eucalyptus foecunda","eucalyptus","foecunda",NA,"eucalyptus foecunda","Accepted","","Schauer","Currency Creek 1152","KT631690","KT631100","KT632872","KT632298"
