new.tip_unique.ID,node
eucalyptus_dawsonii_743,498
eucalyptus_dealbata_723,373
eucalyptus_dealbata_724,373
eucalyptus_dealbata_6171,373
eucalyptus_dealbata_6242,373
eucalyptus_deanei_633,388
eucalyptus_decipiens_227,265
eucalyptus_decipiens_1153,265
eucalyptus_decipiens_3700,265
eucalyptus_decolor_2545,474
eucalyptus_decorticans_1260,476
eucalyptus_decurva_219,230
eucalyptus_decurva_3506,230
eucalyptus_deflexa_1110,603
eucalyptus_deflexa_4437,603
eucalyptus_deglupta_19790,333
eucalyptus_deglupta_19791,333
eucalyptus_delegatensis_subsp._delegatensis_573,189
eucalyptus_delegatensis_subsp._tasmaniensis_1971,189
eucalyptus_delegatensis_subsp._tasmaniensis_7400,189
eucalyptus_delicata_149,282
eucalyptus_delicata_2262,282
eucalyptus_dendromorpha_1758,187
eucalyptus_dendromorpha_5869,187
eucalyptus_densa_1111,698
eucalyptus_denticulata_1743,415
eucalyptus_desmondensis_192,650
eucalyptus_deuaensis_1769,199
eucalyptus_dielsii_1120,632
eucalyptus_dielsii_3596,632
eucalyptus_dielsii_5472,632
eucalyptus_diminuta_271,636
eucalyptus_diminuta_1168,636
eucalyptus_diminuta_3544,636
eucalyptus_diminuta_5543,636
eucalyptus_diminuta_-_e._stowardii_intergrade_3697,636
eucalyptus_diptera_146,691
eucalyptus_disclusa_707,366
eucalyptus_discreta_1091,319
eucalyptus_discreta_3613,319
eucalyptus_sinuensis_5993,319
eucalyptus_uncinata_subsp._uncinata_6350,323
"eucalyptus_dissimulata_subsp._dissimulata
_205",311
"eucalyptus_dissimulata_subsp._dissimulata
_1629",311
"eucalyptus_dissimulata_subsp._dissimulata
_3744",311
"eucalyptus_dissimulata_subsp._dissimulata
_3567",311
eucalyptus_distans_2452,496
eucalyptus_distans_2500,496
eucalyptus_distuberosa_subsp._aerata_3653,560
eucalyptus_distuberosa_subsp._aerata_3657,560
eucalyptus_distuberosa_subsp._distuberosa_3480,560
eucalyptus_diversicolor_1142,260
eucalyptus_diversicolor_4629,260
eucalyptus_diversifolia_subsp._diversifolia_792,133
eucalyptus_diversifolia_subsp._diversifolia_(subsp._megacarpa)_1991,133
eucalyptus_diversifolia_subsp._hesperia_1811,133
eucalyptus_dives_572,197
eucalyptus_dives_6099,197
eucalyptus_dives_1760,197
eucalyptus_dolichocera_273,270
eucalyptus_dolichocera_3525,270
eucalyptus_dolichorhyncha_152,597
eucalyptus_doratoxylon_178,229
eucalyptus_dorrienii_3725,307
eucalyptus_dorrienii_2237,307
eucalyptus_dorrigoensis_6798,441
eucalyptus_drepanophylla_1317,471
eucalyptus_drepanophylla_2514,471
eucalyptus_drepanophylla_2532,471
eucalyptus_drepanophylla_5133,471
eucalyptus_drepanophylla_(e._xanthoclada)_1294,471
eucalyptus_drepanophylla_(e._xanthoclada)_2531,471
eucalyptus_drummondii_1156,248
eucalyptus_drummondii_1892,248
eucalyptus_drummondii_2212,248
eucalyptus_drummondii_(microflora_variant)_3549,248
eucalyptus_dumosa_93,551
eucalyptus_dumosa_981,551
eucalyptus_dumosa_2558,551
eucalyptus_dumosa_5229,551
eucalyptus_dundasii_129,619
eucalyptus_dundasii_2175,619
eucalyptus_dunnii_1257,394
eucalyptus_dura_689,463
eucalyptus_dwyeri_751,359
eucalyptus_dwyeri_1369,359
eucalyptus_ebbanoensis_subsp._ebbanoensis_293,108
eucalyptus_ebbanoensis_subsp._glauciramula_2726,108
eucalyptus_ebbanoensis_subsp._photina_270,108
eucalyptus_ecostata_198,304
eucalyptus_ecostata_5496,304
eucalyptus_ecostata_3564,304
eucalyptus_ecostata_2244,304
eucalyptus_ecostata_3568,304
eucalyptus_ecostata_-_e._semiglobosa_intergrade_3587,304
eucalyptus_educta_335,243
eucalyptus_educta_1562,243
eucalyptus_educta_5600,243
eucalyptus_educta_6921,243
eucalyptus_educta_6928,243
eucalyptus_educta_7300,243
eucalyptus_effusa_subsp._effusa_127,688
eucalyptus_effusa_subsp._effusa_3631,688
eucalyptus_effusa_subsp._exsul_1540,688
eucalyptus_effusa_subsp._exsul_1554,688
eucalyptus_elaeophloia_586,442
eucalyptus_elaeophloia_7379,442
eucalyptus_elata_1742,182
eucalyptus_elata_4880,182
eucalyptus_elata_2901,182
eucalyptus_elata_(e._ornans)_6783,182
eucalyptus_elegans_680,471
eucalyptus_elliptica_1367,434
eucalyptus_elliptica_2948,434
eucalyptus_elliptica_6228,434
eucalyptus_erectifolia_231,144
eucalyptus_erectifolia_1623,144
eucalyptus_eremicola_subsp._eremicola_1500,299
eucalyptus_eremicola_subsp._eremicola_2614,299
eucalyptus_eremicola_subsp._peeneri_1518,299
eucalyptus_eremicola_subsp._peeneri_1542,299
eucalyptus_eremophila_345,638
eucalyptus_eremophila_5046,638
eucalyptus_eremophila_5994,638
eucalyptus_eremophila_(twilight_cove_variant)_5976,638
eucalyptus_erosa_2118,203
eucalyptus_erythrocorys_265,109
eucalyptus_erythrocorys_5081,109
eucalyptus_erythrocorys_5570,109
eucalyptus_erythronema_subsp._erythronema_3458,666
eucalyptus_erythronema_subsp._inornata_245,666
eucalyptus_erythronema_subsp._inornata_3685,666
eucalyptus_eudesmioides_2207,117
eucalyptus_eudesmioides_5740,117
eucalyptus_eudesmioides_279,117
eucalyptus_eugenioides_1235,203
eucalyptus_ewartiana_280,258
eucalyptus_ewartiana_2721,258
eucalyptus_exigua_322,587
eucalyptus_exigua_3676,587
eucalyptus_exilipes_1289,507
